rider_id,arrival_week,arrival_time,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,pickup_area,dropoff_area,solo_length,quoted_price,convert_or_not,waiting_time,matching_outcome
8408,5,16.0,41.8924931672,-87.6647458359,41.8809944707,-87.6327464887,24,32,1.827684920070268,0.4793516333372541,0,,
8409,5,17.0,41.7478369814,-87.6488131191,41.8809944707,-87.6327464887,71,32,9.237432990010255,0.5600129882811059,0,,
8414,5,23.0,41.794090253,-87.592310855,41.8788655841,-87.6251921424,41,32,6.097086453516647,0.6357608868102598,0,,
8415,5,26.0,41.9465114202,-87.8060200025,41.9850151008,-87.8045320063,17,10,2.661449033830038,0.7863638328645529,0,,
8416,5,28.0,41.8129489392,-87.6178596758,41.794090253,-87.592310855,38,41,1.8518603177356232,0.6691491573397378,0,,
8417,5,32.0,41.9868086263,-87.6944151909,41.8909220259,-87.6188683546,2,8,7.679087612964017,0.5671000841915489,0,,
8418,5,37.0,41.8474315472,-87.6635286858,41.8809944707,-87.6327464887,31,32,2.8082858612726413,0.627336310815559,0,,
8421,5,39.0,41.9540276487,-87.7633990316,41.8788655841,-87.6251921424,15,32,8.801185086639169,0.7441382978723087,0,,
8424,5,41.0,41.9117888585,-87.7215097031,41.8841446699,-87.7478743394,23,25,2.342366316538773,0.5946092651819768,0,,
8425,5,44.0,41.7611057444,-87.6855896618,41.7764307773,-87.6376353868,66,68,2.6885031004009505,0.6307698123160903,0,,
8427,5,49.0,41.9351139349,-87.7516489576,41.8917542026,-87.7186707951,19,23,3.4424337347537324,0.6669114330304107,0,,
8430,5,62.0,41.7296764229,-87.5727171342,41.7441995348,-87.5863483178,48,45,1.2250879854894745,0.6509380002728105,0,,
8431,5,63.0,41.8786674201,-87.6716536214,41.9146162864,-87.6317173661,28,7,3.223036118202331,0.4787463853420675,0,,
8434,5,67.0,41.7544341714,-87.632184554,41.7830058493,-87.6715775901,69,67,2.831631417391792,0.6575284546780591,0,,
8435,5,67.0,41.785998518,-87.7509342894,41.9290469366,-87.6513108767,56,7,11.134228988822414,0.5828876584483103,0,,
8438,5,69.0,41.8917542026,-87.7186707951,41.8772437541,-87.713331464,23,27,1.0395160851917264,0.493969264488117,0,,
8439,5,70.0,41.8090182499,-87.6591665992,41.7771962546,-87.6424975271,61,68,2.3604155040407173,0.7224493498993393,0,,
8440,5,71.0,41.7462155842,-87.6903405275,41.8162644525,-87.7189271854,70,57,5.059060656689802,0.6581435545829969,0,,
8446,5,91.0,41.7470857284,-87.5573895394,41.8130413823,-87.599476602,46,39,5.0467265862123805,0.5641563219697908,0,,
8447,5,92.0,41.874005383,-87.6635175498,41.9000696026,-87.7209182385,28,23,3.458416704058877,0.568264505434392,0,,
8452,5,100.0,41.8201666062,-87.621499206,41.8809944707,-87.6327464887,38,32,4.242481828973468,0.5262511496774833,0,,
8453,5,103.0,42.0016981937,-87.6735740325,41.9782942489,-87.7164304157,1,13,2.7310614209729405,0.6870064144864905,0,,
8461,5,125.0,41.9428725376,-87.701330291,41.8932163595,-87.6378442095,21,8,4.735475428201202,0.6271709268435681,0,,
8464,5,131.0,41.8390869059,-87.714003807,41.8108790078,-87.7263633246,30,57,2.05023824854939,0.5961859538981201,0,,
8467,5,136.0,41.8423039419,-87.6555162889,41.9346591566,-87.6467297286,60,6,6.39712232583294,0.5881008236961753,0,,
8468,5,139.0,41.7061257523,-87.5982558383,41.6906333472,-87.5700582686,50,51,1.8060785182320267,0.7163154845427402,0,,
8469,5,142.0,41.783170859,-87.6035588871,41.8792550844,-87.642648998,42,28,6.937107697739449,0.5298242346368467,0,,
8471,5,151.0,41.859349715,-87.6173580061,41.8809944707,-87.6327464887,33,32,1.6921655669011937,0.576468540686823,0,,
8473,5,153.0,41.9000696026,-87.7209182385,41.9012069941,-87.6763559892,23,24,2.2930282388187075,0.6528437998665598,0,,
