rider_id,arrival_week,arrival_time,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,pickup_area,dropoff_area,solo_length,quoted_price,convert_or_not,waiting_time,matching_outcome
8015,4,2954.0,41.9005603836,-87.6941973701,41.8809944707,-87.6327464887,24,32,3.437665749016203,0.3561498140264953,1,4.0,8017.0
10820,6,1402.0,41.9157411934,-87.6922563262,41.8786674201,-87.6716536214,22,28,2.772051992195208,0.5705830072641528,0,,
2755,2,1027.0,41.8923550478,-87.674506788,41.8809944707,-87.6327464887,24,32,2.2869801216670087,0.5308147600221705,1,6.0,2757.0
1935,1,3256.0,41.8563332167,-87.6595642391,41.8853000224,-87.6428084655,31,28,2.1791901140867798,0.535967168494344,1,8.0,1943.0
11253,6,2395.0,41.6906333472,-87.5700582686,41.7065878819,-87.6233665115,51,49,2.9628208393672204,0.7681485407876885,0,,
3000,2,1506.0,41.8809944707,-87.6327464887,41.8919715078,-87.6129454143,32,8,1.2698928813241597,0.6149378748334067,0,,
8513,5,226.0,41.7559614313,-87.551994147,41.7662994252,-87.5993944745,43,69,2.545234942384172,0.6405942372199742,0,,
5147,3,1446.0,41.9289672664,-87.6561568309,41.949829346,-87.6439653703,7,6,1.571729764966458,0.3910728196166135,1,0.0,5126.0
2826,2,1157.0,41.9653625868,-87.7318327391,41.8932163595,-87.6378442095,14,8,6.941922936596976,0.7102510653314612,1,0.0,2824.0
1722,1,2933.0,41.8986992296,-87.7088084239,41.9147473049,-87.6540070286,23,7,3.0282773191599395,0.6722668315929716,1,0.0,1717.0
1002,1,1756.0,41.9123643542,-87.6750627566,41.9217781876,-87.6510618838,24,7,1.3948944061674415,0.5004805641838533,1,0.0,999.0
3263,2,1931.0,41.9212731053,-87.6850821101,41.8849871918,-87.6209929134,22,32,4.1409711765691455,0.4874048413647433,1,0.0,3262.0
6884,4,934.0,41.8792550844,-87.642648998,41.8932163595,-87.6378442095,28,8,0.9957901928111432,0.4282481481980714,1,44.0,6900.0
4253,2,3462.0,41.9724370811,-87.6711095263,41.8950334495,-87.6197106717,3,8,5.965029286734565,0.6641461896257028,0,,
3187,2,1813.0,41.9012069941,-87.6763559892,41.9386661962,-87.7112105933,24,21,3.1479574156309638,0.4737753883680891,1,66.80576303795601,
11255,6,2400.0,41.9431550855,-87.640698076,42.0008748252,-87.701802904,6,2,5.07515763841598,0.4869001715749488,1,0.0,11249.0
2522,2,625.0,41.7442051463,-87.6563059862,41.8129489392,-87.6178596758,71,38,5.146276903326741,0.6811108521073191,0,,
11533,6,2979.0,41.9360865352,-87.6661106945,41.8932163595,-87.6378442095,6,8,3.299376298918052,0.5365781189580403,1,0.0,11527.0
5032,3,1290.0,41.8920421365,-87.6318639497,41.8612808467,-87.6305800611,8,33,2.1264287763393703,0.3610144617973257,1,0.0,5029.0
613,1,1121.0,41.9074919303,-87.6357600901,41.8852813201,-87.6572331997,8,28,1.890669523400123,0.4456062615930567,1,21.122555407198888,
5749,3,2538.0,41.8329371807,-87.6535834197,41.8704150003,-87.6750856208,60,28,2.8160238014437917,0.5362013380603416,0,,
2021,1,3373.0,41.8996701799,-87.6698377982,41.8809944707,-87.6327464887,24,32,2.303191965332726,0.4867731887708293,1,3.0,2023.0
8751,5,731.0,41.9868086263,-87.6944151909,41.978068292,-87.8197891138,2,10,6.46753346417695,0.6978945022142925,1,38.0,8773.0
5914,3,2793.0,41.9431550855,-87.640698076,42.004764559,-87.659122427,6,1,4.36074751663224,0.5491484519475418,0,,
11034,6,1875.0,41.874005383,-87.6635175498,41.9012069941,-87.6763559892,28,24,1.992092065705068,0.5383368617486278,0,,
4702,3,667.0,41.8926581076,-87.6525344838,41.8809944707,-87.6327464887,24,32,1.2982516911607402,0.5291068603360022,0,,
4681,3,627.0,41.8484115955,-87.6914304807,41.8081895757,-87.6990971733,30,58,2.806968174195922,0.6086486955440442,1,93.0,4733.0
2651,2,856.0,41.7895012715,-87.7303971516,41.8786674201,-87.6716536214,62,28,6.862994200197338,0.6996837291042648,0,,
8128,4,3121.0,41.8173662079,-87.6988607973,41.8390869059,-87.714003807,58,30,1.6911838212582744,0.5837360685430796,0,,
11400,6,2686.0,41.8909220259,-87.6188683546,41.922082541,-87.6341560931,8,7,2.292016634911068,0.5113276120420961,1,0.0,11398.0
4969,3,1171.0,41.9147473049,-87.6540070286,41.8950334495,-87.6197106717,7,8,2.228381027933155,0.5642522118176302,1,0.0,4961.0
6896,4,973.0,41.8417186095,-87.6439324936,41.8162234797,-87.6516929533,60,61,1.80628797785155,0.5308236616423999,1,250.14660622526932,
7828,4,2634.0,41.8853000224,-87.6428084655,41.9286190509,-87.685362024,28,22,3.707623294505484,0.3941369740266411,1,0.0,7816.0
10311,6,74.0,41.962178629,-87.6453787624,41.8983317935,-87.6207628651,3,8,4.589276290878011,0.523702494169556,0,,
4907,3,1045.0,41.8924931672,-87.6647458359,41.8792550844,-87.642648998,24,28,1.458948188677495,0.4269597937015796,0,,
149,1,294.0,41.8914068203,-87.7518036939,41.8607622624,-87.7006919027,25,29,3.376010784171938,0.4722696660318232,1,27.0,161.0
5931,3,2813.0,41.8706073724,-87.6221729369,41.859349715,-87.6173580061,32,33,0.8163340615615682,0.6161133989821415,0,,
9188,5,1514.0,41.7621423146,-87.6103458371,41.8792550844,-87.642648998,69,28,8.260906793413358,0.5747258840279794,0,,
