Month,Engineering,Sales,Customer_Success,G&A
2026-01-01,18,10,8,6
2026-02-01,19,11,8,6
2026-03-01,20,12,9,6
2026-04-01,21,13,9,7
2026-05-01,22,14,10,7
2026-06-01,23,15,10,7
2026-07-01,24,16,11,8
2026-08-01,25,17,11,8
2026-09-01,26,18,12,8
2026-10-01,27,19,12,9
2026-11-01,28,20,13,9
2026-12-01,29,21,13,9
2027-01-01,30,22,14,10
2027-02-01,31,23,14,10
2027-03-01,32,24,15,10
2027-04-01,33,25,15,11
2027-05-01,34,26,16,11
2027-06-01,35,27,16,11
2027-07-01,36,28,17,12
2027-08-01,37,29,17,12
2027-09-01,38,30,18,12
2027-10-01,39,31,18,13
2027-11-01,40,32,19,13
2027-12-01,41,33,19,13
