date,year,month_number,month_name,year_month,quarter,week_start_date,day_of_week,is_weekend
2025-01-01,2025,1,Jan,2025-01,Q1,2024-12-30,Wednesday,0
2025-01-02,2025,1,Jan,2025-01,Q1,2024-12-30,Thursday,0
2025-01-03,2025,1,Jan,2025-01,Q1,2024-12-30,Friday,0
2025-01-04,2025,1,Jan,2025-01,Q1,2024-12-30,Saturday,1
2025-01-05,2025,1,Jan,2025-01,Q1,2024-12-30,Sunday,1
2025-01-06,2025,1,Jan,2025-01,Q1,2025-01-06,Monday,0
2025-01-07,2025,1,Jan,2025-01,Q1,2025-01-06,Tuesday,0
2025-01-08,2025,1,Jan,2025-01,Q1,2025-01-06,Wednesday,0
2025-01-09,2025,1,Jan,2025-01,Q1,2025-01-06,Thursday,0
2025-01-10,2025,1,Jan,2025-01,Q1,2025-01-06,Friday,0
2025-01-11,2025,1,Jan,2025-01,Q1,2025-01-06,Saturday,1
2025-01-12,2025,1,Jan,2025-01,Q1,2025-01-06,Sunday,1
2025-01-13,2025,1,Jan,2025-01,Q1,2025-01-13,Monday,0
2025-01-14,2025,1,Jan,2025-01,Q1,2025-01-13,Tuesday,0
2025-01-15,2025,1,Jan,2025-01,Q1,2025-01-13,Wednesday,0
2025-01-16,2025,1,Jan,2025-01,Q1,2025-01-13,Thursday,0
2025-01-17,2025,1,Jan,2025-01,Q1,2025-01-13,Friday,0
2025-01-18,2025,1,Jan,2025-01,Q1,2025-01-13,Saturday,1
2025-01-19,2025,1,Jan,2025-01,Q1,2025-01-13,Sunday,1
2025-01-20,2025,1,Jan,2025-01,Q1,2025-01-20,Monday,0
2025-01-21,2025,1,Jan,2025-01,Q1,2025-01-20,Tuesday,0
2025-01-22,2025,1,Jan,2025-01,Q1,2025-01-20,Wednesday,0
2025-01-23,2025,1,Jan,2025-01,Q1,2025-01-20,Thursday,0
2025-01-24,2025,1,Jan,2025-01,Q1,2025-01-20,Friday,0
2025-01-25,2025,1,Jan,2025-01,Q1,2025-01-20,Saturday,1
2025-01-26,2025,1,Jan,2025-01,Q1,2025-01-20,Sunday,1
2025-01-27,2025,1,Jan,2025-01,Q1,2025-01-27,Monday,0
2025-01-28,2025,1,Jan,2025-01,Q1,2025-01-27,Tuesday,0
2025-01-29,2025,1,Jan,2025-01,Q1,2025-01-27,Wednesday,0
2025-01-30,2025,1,Jan,2025-01,Q1,2025-01-27,Thursday,0
2025-01-31,2025,1,Jan,2025-01,Q1,2025-01-27,Friday,0
