request_id,customer_id,customer_segment,channel,account_age_days,prior_transactions_30d,prior_chargebacks_180d,failed_payment_attempts_24h,order_amount,shipping_distance_km,device_age_days,email_domain_age_days,ip_risk_score,billing_shipping_match,velocity_score
REQ-00001001,CUST-58798,consumer,web,1688,3,0,2,1588.08,348.9,82,2173,0.166,True,0.06
REQ-00001002,CUST-32407,small_business,partner_api,16,55,4,3,8042.34,3026.7,10,12,0.902,False,0.925
REQ-00001003,CUST-72277,small_business,mobile,543,14,1,0,1381.75,248.2,821,2109,0.296,True,0.353
REQ-00001004,CUST-88723,consumer,web,292,1,0,0,509.97,224.4,787,1794,0.174,True,0.378
REQ-00001005,CUST-76548,enterprise,call_center,1718,12,0,2,665.78,26.8,204,1014,0.101,False,0.215
REQ-00001006,CUST-89227,consumer,mobile,313,5,0,1,1759.55,215.3,368,1252,0.18,True,0.307
REQ-00001007,CUST-37721,consumer,call_center,16,43,1,3,4744.44,2035.6,10,20,0.616,False,0.948
REQ-00001008,CUST-35040,consumer,web,1056,2,0,1,332.32,246.3,746,222,0.155,True,0.133
REQ-00001009,CUST-45736,enterprise,mobile,430,14,1,1,1009.43,147.8,957,1030,0.286,False,0.176
REQ-00001010,CUST-35038,consumer,partner_api,583,16,1,2,716.87,223.2,88,1219,0.246,True,0.151
REQ-00001011,CUST-57366,consumer,mobile,1027,18,0,0,496.86,65.9,386,2212,0.262,True,0.267
REQ-00001012,CUST-69950,consumer,call_center,707,2,0,1,1439.32,241.8,843,1786,0.054,True,0.24
REQ-00001013,CUST-13220,small_business,partner_api,1567,17,0,0,1639.18,125.3,260,1702,0.131,True,0.175
REQ-00001014,CUST-76394,enterprise,call_center,581,17,1,2,1024.25,85.0,441,2443,0.152,True,0.312
REQ-00001015,CUST-31467,small_business,web,486,1,0,0,1095.01,295.3,278,749,0.225,True,0.302
REQ-00001016,CUST-26450,consumer,call_center,688,13,0,0,1172.75,88.9,424,1806,0.088,True,0.056
REQ-00001017,CUST-47776,consumer,call_center,189,3,0,0,344.01,218.2,893,1896,0.229,True,0.299
REQ-00001018,CUST-94730,small_business,web,45,44,3,5,5084.12,2782.3,6,16,0.695,False,0.835
REQ-00001019,CUST-68714,consumer,call_center,1161,8,0,0,1191.2,129.2,398,523,0.114,True,0.41
REQ-00001020,CUST-11261,enterprise,partner_api,742,4,0,2,1114.21,191.9,201,2170,0.184,True,0.157
REQ-00001021,CUST-51815,consumer,mobile,784,15,0,0,996.96,176.0,397,1241,0.208,True,0.289
REQ-00001022,CUST-61341,consumer,partner_api,0,26,4,5,6327.99,2958.7,5,9,0.725,False,0.79
REQ-00001023,CUST-65385,small_business,web,1053,3,0,2,273.07,56.6,659,1239,0.121,False,0.097
REQ-00001024,CUST-72178,enterprise,partner_api,2,48,4,5,6593.23,936.6,8,36,0.57,True,0.827
REQ-00001025,CUST-12065,consumer,partner_api,11,34,2,3,7146.9,1010.3,7,25,0.942,False,0.827
REQ-00001026,CUST-16088,enterprise,web,1255,14,1,2,327.3,213.0,443,1318,0.14,True,0.055
REQ-00001027,CUST-53361,small_business,mobile,1359,1,1,0,439.27,154.9,169,1533,0.078,True,0.32
REQ-00001028,CUST-79829,consumer,call_center,25,47,1,7,4009.62,743.3,8,34,0.809,False,0.699
REQ-00001029,CUST-59654,enterprise,call_center,214,17,0,0,271.48,216.7,842,1510,0.251,True,0.145
REQ-00001030,CUST-18501,consumer,partner_api,989,10,0,0,1681.57,341.7,263,821,0.11,True,0.213
REQ-00001031,CUST-66699,enterprise,web,23,51,2,3,6656.55,1738.9,9,39,0.812,True,0.862
REQ-00001032,CUST-80216,small_business,call_center,1618,10,0,1,864.05,283.1,996,1776,0.239,True,0.257
REQ-00001033,CUST-36807,enterprise,mobile,773,6,0,0,578.09,105.7,450,541,0.321,True,0.403
REQ-00001034,CUST-69362,consumer,call_center,181,8,1,2,1212.74,111.6,625,2146,0.3,True,0.375
REQ-00001035,CUST-49174,enterprise,web,1066,6,0,0,1482.85,206.5,72,1042,0.223,True,0.258
REQ-00001036,CUST-73764,consumer,web,16,20,4,3,7103.21,3168.3,10,38,0.846,False,0.658
REQ-00001037,CUST-49380,small_business,web,20,32,2,5,5439.06,1378.4,8,15,0.958,False,0.851
REQ-00001038,CUST-49725,consumer,call_center,39,55,2,3,6217.72,1852.7,10,38,0.969,False,0.916
REQ-00001039,CUST-57895,enterprise,partner_api,1719,3,0,0,975.47,175.2,311,903,0.067,False,0.228
REQ-00001040,CUST-10019,small_business,call_center,1614,17,1,0,364.69,154.4,922,2112,0.192,True,0.203
