request_id,customer_id,customer_segment,channel,account_age_days,prior_transactions_30d,prior_chargebacks_180d,failed_payment_attempts_24h,order_amount,shipping_distance_km,device_age_days,email_domain_age_days,ip_risk_score,billing_shipping_match,velocity_score
REQ-00000001,CUST-14271,enterprise,call_center,1124,14,0,2,490.92,108.0,232,2054,0.142,True,0.368
REQ-00000002,CUST-11781,consumer,mobile,1256,15,1,2,1533.37,159.6,577,1912,0.281,True,0.164
REQ-00000003,CUST-36676,consumer,mobile,800,10,1,1,1348.08,291.7,156,451,0.232,True,0.185
REQ-00000004,CUST-70112,consumer,partner_api,1150,12,0,0,1103.98,91.4,352,575,0.268,True,0.441
REQ-00000005,CUST-35440,small_business,mobile,367,7,0,0,690.89,22.7,644,389,0.129,True,0.274
REQ-00000006,CUST-40680,enterprise,mobile,20,26,2,4,6451.2,746.5,0,3,0.63,True,0.758
REQ-00000007,CUST-35776,enterprise,web,1144,4,0,0,338.88,229.1,816,468,0.284,True,0.276
REQ-00000008,CUST-93235,consumer,partner_api,1,54,3,3,5495.82,3361.6,1,30,0.598,False,0.952
REQ-00000009,CUST-60590,enterprise,partner_api,492,12,1,0,1698.06,173.0,969,566,0.33,True,0.325
REQ-00000010,CUST-95274,small_business,mobile,296,1,0,1,1153.3,298.8,350,788,0.135,True,0.094
REQ-00000011,CUST-79585,small_business,web,356,17,0,0,1341.84,102.2,936,1431,0.27,True,0.329
REQ-00000012,CUST-28087,small_business,web,836,11,0,0,715.15,93.8,378,373,0.344,True,0.104
REQ-00000013,CUST-41990,small_business,call_center,401,8,0,2,1082.74,99.4,686,1765,0.324,True,0.333
REQ-00000014,CUST-28241,small_business,web,726,12,0,2,444.78,204.1,241,2400,0.173,False,0.033
REQ-00000015,CUST-73245,small_business,call_center,23,30,3,4,4646.42,4094.0,1,12,0.829,True,0.964
REQ-00000016,CUST-35965,enterprise,call_center,1731,5,1,1,947.06,183.3,208,160,0.126,True,0.162
REQ-00000017,CUST-74711,consumer,mobile,431,5,0,0,1617.73,69.9,95,825,0.291,False,0.036
REQ-00000018,CUST-89282,enterprise,mobile,1239,4,1,1,323.28,145.5,584,1779,0.116,True,0.391
REQ-00000019,CUST-75395,enterprise,mobile,763,11,0,0,823.99,246.1,905,1355,0.228,False,0.205
REQ-00000020,CUST-99555,small_business,call_center,25,25,2,3,2834.7,4058.7,8,30,0.973,False,0.767
REQ-00000021,CUST-25245,enterprise,partner_api,797,4,0,0,262.35,56.6,278,646,0.097,True,0.161
REQ-00000022,CUST-66453,small_business,mobile,1181,8,0,0,454.79,93.5,783,1493,0.308,True,0.259
REQ-00000023,CUST-72310,consumer,call_center,1791,2,0,0,744.75,164.9,937,829,0.24,False,0.177
REQ-00000024,CUST-55297,enterprise,call_center,350,4,0,0,938.92,234.4,409,1470,0.2,True,0.134
REQ-00000025,CUST-92773,enterprise,partner_api,22,51,4,3,4679.35,3858.2,3,27,0.616,False,0.829
REQ-00000026,CUST-11256,small_business,partner_api,1357,15,1,1,714.93,259.1,434,338,0.184,True,0.333
REQ-00000027,CUST-34816,consumer,mobile,726,3,0,2,530.2,198.2,60,487,0.101,True,0.107
REQ-00000028,CUST-56927,small_business,mobile,20,55,4,4,5384.59,1519.9,8,15,0.893,False,0.71
REQ-00000029,CUST-82373,enterprise,partner_api,1781,2,1,2,1362.67,239.4,155,884,0.065,True,0.408
REQ-00000030,CUST-52158,enterprise,mobile,1276,5,0,0,1371.05,28.9,471,752,0.092,True,0.406
REQ-00000031,CUST-45906,consumer,web,1781,12,1,0,1445.18,123.3,1045,2054,0.262,True,0.203
REQ-00000032,CUST-36257,consumer,mobile,41,46,1,4,8180.37,3111.7,10,2,0.576,True,0.921
REQ-00000033,CUST-35143,enterprise,call_center,393,17,0,2,877.96,158.0,500,918,0.222,True,0.232
REQ-00000034,CUST-67451,enterprise,call_center,1480,9,1,0,1605.64,330.0,574,403,0.292,True,0.273
REQ-00000035,CUST-76602,consumer,partner_api,1632,17,0,1,1158.29,270.0,365,2285,0.22,False,0.399
REQ-00000036,CUST-32184,enterprise,call_center,1704,4,1,1,485.69,196.9,655,2446,0.294,True,0.051
REQ-00000037,CUST-27532,consumer,partner_api,833,14,0,0,605.71,166.4,82,492,0.322,True,0.349
REQ-00000038,CUST-66021,small_business,web,729,18,0,0,975.5,117.5,167,1436,0.225,True,0.403
REQ-00000039,CUST-55042,consumer,partner_api,1635,5,1,0,1662.86,285.7,985,241,0.17,True,0.442
REQ-00000040,CUST-74831,enterprise,call_center,1777,16,0,2,1188.22,121.1,254,1643,0.102,True,0.352
