order_id,order_date,region,warehouse,customer_segment,sku_id,category,product_name,quantity,unit_price,unit_cost,discount_rate,revenue,gross_profit,order_status
ORD-500001,2026-01-01,Central,Chicago DC,Enterprise,SKU-1012,Beauty,Fragrance Set,1,138.55,68.54,0.1,124.7,56.16,Completed
ORD-500002,2026-01-01,West,Seattle DC,Enterprise,SKU-1002,Electronics,Smart Home Hub,1,202.52,137.45,0.05,192.39,54.94,Completed
ORD-500003,2026-01-01,Central,Minneapolis DC,Enterprise,SKU-1010,Beauty,Skin Care Kit,1,212.38,144.24,0,212.38,68.14,Completed
ORD-500004,2026-01-01,West,Los Angeles DC,Small Business,SKU-1003,Electronics,Portable Charger,1,132.63,59.06,0,132.63,73.57,Completed
ORD-500005,2026-01-01,West,Los Angeles DC,Small Business,SKU-1009,Apparel,Travel Backpack,1,145.86,81.38,0.05,138.57,57.19,Completed
ORD-500006,2026-01-01,Central,Dallas DC,Consumer,SKU-1002,Electronics,Smart Home Hub,1,202.52,137.45,0,202.52,65.07,Completed
ORD-500007,2026-01-01,East,New Jersey DC,Consumer,SKU-1002,Electronics,Smart Home Hub,1,202.52,137.45,0,202.52,65.07,Completed
ORD-500008,2026-01-01,East,New Jersey DC,Consumer,SKU-1004,Home,Air Purifier,1,39.43,23.74,0,39.43,15.69,Completed
ORD-500009,2026-01-01,East,New Jersey DC,Small Business,SKU-1002,Electronics,Smart Home Hub,1,202.52,137.45,0,202.52,65.07,Completed
ORD-500010,2026-01-01,West,Los Angeles DC,Small Business,SKU-1006,Home,Kitchen Organizer,1,100.06,51.21,0,100.06,48.85,Completed
ORD-500011,2026-01-01,West,Denver DC,Enterprise,SKU-1009,Apparel,Travel Backpack,1,145.86,81.38,0.15,123.98,42.6,Completed
ORD-500012,2026-01-01,Central,Minneapolis DC,Consumer,SKU-1002,Electronics,Smart Home Hub,1,202.52,137.45,0,202.52,65.07,Completed
ORD-500013,2026-01-01,West,Denver DC,Consumer,SKU-1002,Electronics,Smart Home Hub,3,202.52,137.45,0.1,546.8,134.45,Completed
ORD-500014,2026-01-01,West,Seattle DC,Small Business,SKU-1009,Apparel,Travel Backpack,2,145.86,81.38,0,291.72,128.96,Completed
ORD-500015,2026-01-01,West,Seattle DC,Enterprise,SKU-1008,Apparel,Running Shoes,2,88.43,59.11,0.05,168.02,49.8,Completed
ORD-500016,2026-01-01,Central,Minneapolis DC,Small Business,SKU-1009,Apparel,Travel Backpack,1,145.86,81.38,0.15,123.98,42.6,Completed
ORD-500017,2026-01-01,Central,Dallas DC,Small Business,SKU-1005,Home,Bedding Set,4,134.44,81.31,0,537.76,212.52,Completed
ORD-500018,2026-01-01,Central,Dallas DC,Consumer,SKU-1012,Beauty,Fragrance Set,1,138.55,68.54,0.15,117.77,49.23,Completed
ORD-500019,2026-01-01,Central,Minneapolis DC,Enterprise,SKU-1001,Electronics,Noise-Canceling Headphones,1,202.4,94.45,0.05,192.28,97.83,Completed
ORD-500020,2026-01-01,Central,Dallas DC,Enterprise,SKU-1010,Beauty,Skin Care Kit,2,212.38,144.24,0.15,361.05,72.57,Completed
ORD-500021,2026-01-01,West,Denver DC,Small Business,SKU-1007,Apparel,Performance Jacket,1,259.88,171.94,0.15,220.9,48.96,Completed
ORD-500022,2026-01-01,Central,Dallas DC,Consumer,SKU-1009,Apparel,Travel Backpack,1,145.86,81.38,0,145.86,64.48,Completed
ORD-500023,2026-01-01,West,Los Angeles DC,Enterprise,SKU-1002,Electronics,Smart Home Hub,2,202.52,137.45,0,405.04,130.14,Completed
