return_id,order_id,return_date,return_reason,refund_amount,restockable_flag
RET-900001,ORD-500005,2026-01-26,Changed mind,100.09,0
RET-900002,ORD-500029,2026-01-08,Changed mind,78.64,1
RET-900003,ORD-500037,2026-01-29,Late delivery,114.92,1
RET-900004,ORD-500042,2026-01-15,Damaged,157.97,1
RET-900005,ORD-500045,2026-01-25,Late delivery,103.67,1
RET-900006,ORD-500046,2026-01-13,Wrong item,93.59,1
RET-900007,ORD-500053,2026-01-09,Late delivery,196.37,0
RET-900008,ORD-500068,2026-01-23,Quality issue,103.1,1
RET-900009,ORD-500071,2026-01-31,Damaged,73.01,0
RET-900010,ORD-500097,2026-01-25,Wrong item,122.95,1
RET-900011,ORD-500101,2026-01-13,Wrong item,114.32,0
RET-900012,ORD-500121,2026-01-24,Changed mind,196.58,1
RET-900013,ORD-500129,2026-01-21,Changed mind,403.65,1
RET-900014,ORD-500152,2026-01-20,Wrong item,199.05,1
RET-900015,ORD-500160,2026-01-17,Changed mind,111.19,1
RET-900016,ORD-500175,2026-01-28,Late delivery,206.73,1
RET-900017,ORD-500177,2026-01-29,Late delivery,140.03,1
RET-900018,ORD-500184,2026-01-23,Quality issue,121.57,0
RET-900019,ORD-500195,2026-01-29,Late delivery,167.56,0
RET-900020,ORD-500204,2026-01-18,Wrong item,169.31,1
RET-900021,ORD-500214,2026-01-17,Quality issue,604.51,0
RET-900022,ORD-500216,2026-01-13,Wrong item,171.97,1
RET-900023,ORD-500222,2026-01-21,Changed mind,90.89,1
RET-900024,ORD-500230,2026-01-25,Wrong item,499.66,1
RET-900025,ORD-500236,2026-01-21,Quality issue,357.62,1
RET-900026,ORD-500237,2026-01-11,Late delivery,80.0,1
RET-900027,ORD-500245,2026-01-24,Late delivery,105.23,1
RET-900028,ORD-500263,2026-01-30,Late delivery,198.35,1
RET-900029,ORD-500275,2026-01-15,Changed mind,436.22,1
RET-900030,ORD-500277,2026-01-27,Wrong item,28.85,0
RET-900031,ORD-500278,2026-01-25,Quality issue,186.06,0
RET-900032,ORD-500291,2026-01-18,Damaged,204.75,0
RET-900033,ORD-500303,2026-01-28,Wrong item,136.15,1
RET-900034,ORD-500310,2026-01-14,Changed mind,142.19,0
RET-900035,ORD-500333,2026-02-04,Wrong item,159.26,0
RET-900036,ORD-500357,2026-01-21,Quality issue,33.14,0
RET-900037,ORD-500366,2026-02-04,Wrong item,737.29,0
RET-900038,ORD-500376,2026-01-29,Wrong item,189.81,1
RET-900039,ORD-500378,2026-01-27,Damaged,76.46,1
RET-900040,ORD-500407,2026-01-25,Damaged,122.48,1
RET-900041,ORD-500414,2026-02-03,Quality issue,137.43,1
RET-900042,ORD-500416,2026-02-04,Changed mind,72.61,1
RET-900043,ORD-500421,2026-02-05,Wrong item,76.95,1
RET-900044,ORD-500441,2026-01-24,Damaged,157.16,1
RET-900045,ORD-500449,2026-02-04,Late delivery,184.27,1
RET-900046,ORD-500470,2026-01-25,Quality issue,111.36,1
RET-900047,ORD-500504,2026-01-28,Late delivery,191.65,1
RET-900048,ORD-500505,2026-01-23,Wrong item,51.42,0
RET-900049,ORD-500508,2026-02-03,Changed mind,113.82,1
RET-900050,ORD-500510,2026-01-25,Quality issue,192.98,0
RET-900051,ORD-500512,2026-01-24,Quality issue,443.94,0
RET-900052,ORD-500518,2026-01-22,Changed mind,163.55,1
RET-900053,ORD-500523,2026-01-20,Late delivery,126.53,1
RET-900054,ORD-500533,2026-02-05,Late delivery,121.2,1
RET-900055,ORD-500535,2026-02-06,Wrong item,253.47,1
RET-900056,ORD-500553,2026-01-26,Late delivery,98.73,1
RET-900057,ORD-500555,2026-01-21,Late delivery,115.17,0
RET-900058,ORD-500561,2026-01-26,Wrong item,70.21,0
RET-900059,ORD-500584,2026-02-06,Late delivery,96.28,1
RET-900060,ORD-500599,2026-02-04,Quality issue,183.97,1
RET-900061,ORD-500616,2026-02-05,Quality issue,193.0,1
RET-900062,ORD-500622,2026-02-04,Changed mind,162.95,1
RET-900063,ORD-500651,2026-01-29,Wrong item,126.62,1
RET-900064,ORD-500654,2026-02-01,Damaged,233.9,0
RET-900065,ORD-500656,2026-02-08,Late delivery,569.29,1
RET-900066,ORD-500657,2026-01-26,Damaged,73.32,0
RET-900067,ORD-500677,2026-01-24,Quality issue,231.29,1
RET-900068,ORD-500681,2026-01-27,Late delivery,155.92,1
RET-900069,ORD-500685,2026-02-05,Changed mind,122.46,0
RET-900070,ORD-500689,2026-02-15,Wrong item,37.13,0
RET-900071,ORD-500690,2026-01-30,Changed mind,63.87,1
RET-900072,ORD-500691,2026-02-07,Late delivery,524.12,1
RET-900073,ORD-500697,2026-02-09,Changed mind,127.84,1
RET-900074,ORD-500699,2026-02-09,Wrong item,50.23,0
RET-900075,ORD-500724,2026-02-04,Wrong item,386.96,1
RET-900076,ORD-500727,2026-01-29,Changed mind,98.6,0
RET-900077,ORD-500739,2026-02-04,Quality issue,206.96,1
RET-900078,ORD-500740,2026-02-12,Wrong item,176.17,0
RET-900079,ORD-500759,2026-02-09,Wrong item,196.85,1
RET-900080,ORD-500764,2026-02-10,Changed mind,188.69,1
RET-900081,ORD-500773,2026-02-10,Quality issue,250.34,1
RET-900082,ORD-500778,2026-02-18,Late delivery,356.65,1
RET-900083,ORD-500802,2026-02-15,Quality issue,278.15,1
RET-900084,ORD-500803,2026-02-08,Late delivery,110.11,1
RET-900085,ORD-500804,2026-01-30,Wrong item,24.23,1
RET-900086,ORD-500806,2026-02-12,Damaged,199.37,1
RET-900087,ORD-500812,2026-01-28,Quality issue,380.59,1
RET-900088,ORD-500814,2026-02-11,Wrong item,102.86,0
RET-900089,ORD-500826,2026-02-04,Wrong item,63.44,1
RET-900090,ORD-500834,2026-02-01,Wrong item,455.03,0
RET-900091,ORD-500868,2026-02-12,Damaged,70.68,1
RET-900092,ORD-500882,2026-02-09,Wrong item,144.6,0
RET-900093,ORD-500892,2026-02-04,Changed mind,120.45,1
RET-900094,ORD-500919,2026-01-31,Quality issue,22.31,1
RET-900095,ORD-500926,2026-02-18,Damaged,89.91,1
RET-900096,ORD-500944,2026-02-21,Wrong item,66.43,1
RET-900097,ORD-500964,2026-02-19,Late delivery,134.64,1
RET-900098,ORD-500969,2026-02-17,Quality issue,331.17,1
RET-900099,ORD-500971,2026-02-13,Late delivery,280.23,0
RET-900100,ORD-500989,2026-02-20,Wrong item,181.34,1
RET-900101,ORD-500991,2026-02-13,Late delivery,260.67,1
RET-900102,ORD-500992,2026-02-18,Quality issue,355.51,1
RET-900103,ORD-501002,2026-02-17,Late delivery,188.2,1
RET-900104,ORD-501023,2026-02-20,Damaged,185.46,1
RET-900105,ORD-501029,2026-02-10,Changed mind,119.87,0
RET-900106,ORD-501048,2026-02-08,Quality issue,30.21,1
RET-900107,ORD-501056,2026-02-11,Changed mind,25.64,1
RET-900108,ORD-501065,2026-02-14,Late delivery,162.61,1
RET-900109,ORD-501066,2026-02-22,Damaged,76.34,1
RET-900110,ORD-501070,2026-02-11,Damaged,194.15,0
RET-900111,ORD-501073,2026-02-20,Wrong item,155.39,1
RET-900112,ORD-501079,2026-02-19,Wrong item,102.81,1
RET-900113,ORD-501099,2026-02-24,Wrong item,90.49,1
RET-900114,ORD-501104,2026-02-15,Damaged,151.97,1
RET-900115,ORD-501108,2026-02-12,Late delivery,248.24,1
RET-900116,ORD-501115,2026-02-25,Wrong item,34.86,1
RET-900117,ORD-501123,2026-02-19,Damaged,440.69,1
RET-900118,ORD-501136,2026-02-19,Quality issue,80.46,0
RET-900119,ORD-501145,2026-02-08,Damaged,164.07,1
RET-900120,ORD-501149,2026-02-23,Changed mind,186.39,1
RET-900121,ORD-501151,2026-02-10,Wrong item,68.81,1
RET-900122,ORD-501165,2026-02-18,Damaged,354.59,1
RET-900123,ORD-501166,2026-02-25,Wrong item,201.9,0
RET-900124,ORD-501182,2026-02-23,Damaged,832.14,1
RET-900125,ORD-501195,2026-02-21,Damaged,178.32,1
RET-900126,ORD-501198,2026-02-13,Late delivery,516.87,1
RET-900127,ORD-501206,2026-02-14,Wrong item,368.08,0
RET-900128,ORD-501212,2026-02-24,Late delivery,264.4,1
RET-900129,ORD-501227,2026-02-12,Wrong item,49.35,1
RET-900130,ORD-501247,2026-02-28,Quality issue,117.55,1
RET-900131,ORD-501248,2026-02-14,Late delivery,141.2,1
RET-900132,ORD-501250,2026-02-15,Late delivery,183.26,1
RET-900133,ORD-501257,2026-02-16,Quality issue,106.72,1
RET-900134,ORD-501260,2026-02-28,Quality issue,136.82,1
RET-900135,ORD-501284,2026-02-09,Wrong item,174.79,0
RET-900136,ORD-501304,2026-02-20,Quality issue,212.25,1
RET-900137,ORD-501305,2026-02-13,Changed mind,265.3,1
RET-900138,ORD-501312,2026-02-15,Late delivery,63.58,0
RET-900139,ORD-501354,2026-02-15,Changed mind,161.46,0
RET-900140,ORD-501356,2026-02-17,Late delivery,202.09,1
RET-900141,ORD-501366,2026-03-04,Changed mind,67.57,1
RET-900142,ORD-501368,2026-02-26,Late delivery,166.26,1
RET-900143,ORD-501389,2026-02-15,Quality issue,244.01,1
RET-900144,ORD-501400,2026-02-22,Quality issue,261.05,1
RET-900145,ORD-501402,2026-02-25,Damaged,135.71,1
RET-900146,ORD-501404,2026-03-04,Late delivery,99.5,0
RET-900147,ORD-501405,2026-02-21,Changed mind,63.39,1
RET-900148,ORD-501408,2026-03-04,Changed mind,746.54,1
RET-900149,ORD-501410,2026-03-02,Damaged,183.67,1
RET-900150,ORD-501429,2026-03-04,Wrong item,80.22,1
RET-900151,ORD-501431,2026-02-19,Changed mind,246.67,1
RET-900152,ORD-501432,2026-02-14,Wrong item,276.0,1
RET-900153,ORD-501445,2026-03-03,Late delivery,84.82,1
RET-900154,ORD-501448,2026-02-25,Wrong item,108.79,0
RET-900155,ORD-501455,2026-03-04,Quality issue,195.55,1
RET-900156,ORD-501479,2026-03-07,Changed mind,211.33,1
RET-900157,ORD-501485,2026-02-26,Quality issue,194.79,1
RET-900158,ORD-501515,2026-02-27,Late delivery,96.07,1
RET-900159,ORD-501531,2026-02-26,Damaged,29.31,1
RET-900160,ORD-501536,2026-02-19,Quality issue,425.67,1
RET-900161,ORD-501552,2026-02-26,Wrong item,28.83,1
RET-900162,ORD-501557,2026-02-24,Changed mind,189.7,1
RET-900163,ORD-501565,2026-02-23,Damaged,113.24,1
RET-900164,ORD-501567,2026-03-09,Wrong item,153.89,1
RET-900165,ORD-501583,2026-03-06,Late delivery,32.7,1
RET-900166,ORD-501588,2026-03-02,Quality issue,29.34,1
RET-900167,ORD-501592,2026-02-24,Changed mind,65.49,1
RET-900168,ORD-501595,2026-03-03,Wrong item,123.33,1
